dataset,rank,method,score
20_letter,12.0,DAGMM,0.870 ± 0.107
20_letter,13.0,COF,0.827 ± 0.314
20_letter,14.0,LOF,0.815 ± 0.364
21_Lymphography,1.0,KNN,0.971 ± 0.031
21_Lymphography,2.0,CBLOF,0.965 ± 0.044
21_Lymphography,3.0,COF,0.963 ± 0.039
21_Lymphography,4.0,IForest,0.954 ± 0.061
21_Lymphography,5.0,SOD,0.952 ± 0.057
21_Lymphography,6.0,MSDE,0.945 ± 0.063
21_Lymphography,7.0,LODA,0.910 ± 0.123
21_Lymphography,8.0,PCA,0.908 ± 0.140
21_Lymphography,9.0,OCSVM,0.905 ± 0.145
21_Lymphography,10.0,COPOD,0.898 ± 0.168
21_Lymphography,11.0,ECOD,0.896 ± 0.186
21_Lymphography,12.0,HBOS,0.877 ± 0.198
21_Lymphography,13.0,DAGMM,0.875 ± 0.119
21_Lymphography,14.0,LOF,0.781 ± 0.366
22_magic.gamma,1.0,MSDE,0.894 ± 0.098
22_magic.gamma,2.0,IForest,0.890 ± 0.126
22_magic.gamma,3.0,KNN,0.888 ± 0.158
22_magic.gamma,4.0,CBLOF,0.879 ± 0.087
22_magic.gamma,5.0,SOD,0.849 ± 0.185
22_magic.gamma,6.0,PCA,0.846 ± 0.186
22_magic.gamma,7.0,OCSVM,0.836 ± 0.198
22_magic.gamma,8.0,ECOD,0.833 ± 0.194
22_magic.gamma,9.0,LODA,0.829 ± 0.189
22_magic.gamma,10.0,HBOS,0.826 ± 0.205
22_magic.gamma,11.0,DAGMM,0.806 ± 0.154
22_magic.gamma,12.0,COPOD,0.804 ± 0.182
22_magic.gamma,13.0,COF,0.756 ± 0.213
22_magic.gamma,14.0,LOF,0.718 ± 0.199
23_mammography,1.0,MSDE,0.881 ± 0.147
23_mammography,2.0,IForest,0.863 ± 0.161
23_mammography,3.0,CBLOF,0.843 ± 0.183
23_mammography,4.0,ECOD,0.839 ± 0.215
23_mammography,5.0,KNN,0.837 ± 0.151
23_mammography,6.0,COF,0.837 ± 0.143
23_mammography,7.0,SOD,0.829 ± 0.172
23_mammography,8.0,LOF,0.818 ± 0.185
23_mammography,9.0,COPOD,0.815 ± 0.218
23_mammography,10.0,PCA,0.802 ± 0.226
23_mammography,11.0,DAGMM,0.801 ± 0.190
23_mammography,12.0,OCSVM,0.786 ± 0.243
23_mammography,13.0,HBOS,0.784 ± 0.250
23_mammography,14.0,LODA,0.748 ± 0.188
24_mnist,1.0,OCSVM,1.000 ± 0.000
24_mnist,2.0,ECOD,1.000 ± 0.000
24_mnist,3.0,COPOD,1.000 ± 0.000
24_mnist,4.0,HBOS,1.000 ± 0.000
24_mnist,5.0,IForest,1.000 ± 0.001
24_mnist,6.0,CBLOF,1.000 ± 0.001
24_mnist,7.0,LODA,0.999 ± 0.002
24_mnist,8.0,MSDE,0.998 ± 0.003
24_mnist,9.0,PCA,0.997 ± 0.005
24_mnist,10.0,KNN,0.948 ± 0.089
24_mnist,11.0,DAGMM,0.910 ± 0.032
24_mnist,12.0,SOD,0.849 ± 0.257
24_mnist,13.0,COF,0.631 ± 0.358
24_mnist,14.0,LOF,0.522 ± 0.416
25_musk,1.0,MSDE,0.998 ± 0.002
25_musk,2.0,SOD,0.994 ± 0.005
25_musk,3.0,KNN,0.994 ± 0.009
25_musk,4.0,CBLOF,0.994 ± 0.011
25_musk,5.0,IForest,0.979 ± 0.037
25_musk,6.0,COF,0.961 ± 0.056
25_musk,7.0,LODA,0.918 ± 0.149
25_musk,8.0,HBOS,0.900 ± 0.195
25_musk,9.0,OCSVM,0.898 ± 0.193
25_musk,10.0,COPOD,0.892 ± 0.209
25_musk,11.0,PCA,0.891 ± 0.211
25_musk,12.0,ECOD,0.886 ± 0.222
25_musk,13.0,DAGMM,0.855 ± 0.131
25_musk,14.0,LOF,0.848 ± 0.303
26_optdigits,1.0,MSDE,0.999 ± 0.002
26_optdigits,2.0,ECOD,0.999 ± 0.002
26_optdigits,3.0,OCSVM,0.997 ± 0.005
26_optdigits,4.0,COPOD,0.997 ± 0.005
26_optdigits,5.0,CBLOF,0.996 ± 0.006
26_optdigits,6.0,HBOS,0.996 ± 0.008
26_optdigits,7.0,IForest,0.995 ± 0.008
26_optdigits,8.0,LODA,0.993 ± 0.011
26_optdigits,9.0,PCA,0.990 ± 0.018
26_optdigits,10.0,KNN,0.983 ± 0.026
26_optdigits,11.0,SOD,0.965 ± 0.046
26_optdigits,12.0,DAGMM,0.946 ± 0.070
26_optdigits,13.0,LOF,0.846 ± 0.267
26_optdigits,14.0,COF,0.814 ± 0.315
27_PageBlocks,1.0,MSDE,0.850 ± 0.149
27_PageBlocks,2.0,SOD,0.811 ± 0.133
27_PageBlocks,3.0,IForest,0.811 ± 0.214
27_PageBlocks,4.0,KNN,0.810 ± 0.129
27_PageBlocks,5.0,DAGMM,0.809 ± 0.210
27_PageBlocks,6.0,CBLOF,0.800 ± 0.161
27_PageBlocks,7.0,PCA,0.797 ± 0.251
27_PageBlocks,8.0,OCSVM,0.793 ± 0.273
27_PageBlocks,9.0,HBOS,0.782 ± 0.245
27_PageBlocks,10.0,COPOD,0.779 ± 0.251
27_PageBlocks,11.0,LODA,0.772 ± 0.276
27_PageBlocks,12.0,ECOD,0.759 ± 0.242
27_PageBlocks,13.0,COF,0.751 ± 0.205
27_PageBlocks,14.0,LOF,0.732 ± 0.210
28_pendigits,1.0,MSDE,0.983 ± 0.027
28_pendigits,2.0,SOD,0.972 ± 0.044
28_pendigits,3.0,CBLOF,0.971 ± 0.045
28_pendigits,4.0,KNN,0.960 ± 0.045
28_pendigits,5.0,IForest,0.958 ± 0.055
28_pendigits,6.0,LODA,0.916 ± 0.105
28_pendigits,7.0,ECOD,0.883 ± 0.163
28_pendigits,8.0,LOF,0.883 ± 0.209
28_pendigits,9.0,OCSVM,0.880 ± 0.157
28_pendigits,10.0,COPOD,0.875 ± 0.163
28_pendigits,11.0,PCA,0.874 ± 0.170
28_pendigits,12.0,HBOS,0.860 ± 0.203
28_pendigits,13.0,DAGMM,0.834 ± 0.147
28_pendigits,14.0,COF,0.829 ± 0.268
29_Pima,1.0,MSDE,0.880 ± 0.173
29_Pima,2.0,IForest,0.862 ± 0.172
29_Pima,3.0,KNN,0.854 ± 0.134
29_Pima,4.0,HBOS,0.848 ± 0.244
29_Pima,5.0,PCA,0.846 ± 0.231
29_Pima,6.0,COPOD,0.833 ± 0.236
29_Pima,7.0,ECOD,0.806 ± 0.221
29_Pima,8.0,CBLOF,0.805 ± 0.163
29_Pima,9.0,LODA,0.794 ± 0.208
29_Pima,10.0,SOD,0.788 ± 0.127
29_Pima,11.0,OCSVM,0.785 ± 0.205
29_Pima,12.0,COF,0.768 ± 0.243
29_Pima,13.0,LOF,0.750 ± 0.228
29_Pima,14.0,DAGMM,0.742 ± 0.129
2_annthyroid,1.0,KNN,0.897 ± 0.069
2_annthyroid,2.0,MSDE,0.896 ± 0.098
2_annthyroid,3.0,IForest,0.880 ± 0.148
2_annthyroid,4.0,SOD,0.869 ± 0.087
2_annthyroid,5.0,CBLOF,0.858 ± 0.117
2_annthyroid,6.0,ECOD,0.852 ± 0.200
2_annthyroid,7.0,PCA,0.850 ± 0.192
2_annthyroid,8.0,COPOD,0.848 ± 0.197
2_annthyroid,9.0,HBOS,0.842 ± 0.201
2_annthyroid,10.0,OCSVM,0.836 ± 0.211
2_annthyroid,11.0,DAGMM,0.831 ± 0.168
2_annthyroid,12.0,LODA,0.820 ± 0.213
2_annthyroid,13.0,COF,0.771 ± 0.216
2_annthyroid,14.0,LOF,0.771 ± 0.212
30_satellite,1.0,IForest,0.952 ± 0.056
30_satellite,2.0,MSDE,0.939 ± 0.088
30_satellite,3.0,CBLOF,0.894 ± 0.142
30_satellite,4.0,KNN,0.887 ± 0.191
30_satellite,5.0,SOD,0.883 ± 0.198
30_satellite,6.0,HBOS,0.845 ± 0.186
30_satellite,7.0,LOF,0.832 ± 0.309
30_satellite,8.0,COF,0.822 ± 0.306
30_satellite,9.0,PCA,0.816 ± 0.221
30_satellite,10.0,COPOD,0.813 ± 0.198
30_satellite,11.0,OCSVM,0.764 ± 0.175
30_satellite,12.0,ECOD,0.760 ± 0.167
30_satellite,13.0,LODA,0.733 ± 0.157
30_satellite,14.0,DAGMM,0.694 ± 0.058
31_satimage-2,1.0,MSDE,0.989 ± 0.020
31_satimage-2,2.0,SOD,0.986 ± 0.015
31_satimage-2,3.0,CBLOF,0.978 ± 0.037
31_satimage-2,4.0,KNN,0.976 ± 0.029
31_satimage-2,5.0,IForest,0.965 ± 0.048
31_satimage-2,6.0,LOF,0.912 ± 0.161
31_satimage-2,7.0,LODA,0.909 ± 0.100
31_satimage-2,8.0,DAGMM,0.882 ± 0.082
31_satimage-2,9.0,HBOS,0.868 ± 0.155
31_satimage-2,10.0,OCSVM,0.854 ± 0.192
31_satimage-2,11.0,COPOD,0.847 ± 0.195
31_satimage-2,12.0,PCA,0.842 ± 0.212
31_satimage-2,13.0,ECOD,0.840 ± 0.204
31_satimage-2,14.0,COF,0.806 ± 0.338
32_shuttle,1.0,KNN,0.924 ± 0.051
32_shuttle,2.0,IForest,0.919 ± 0.096
32_shuttle,3.0,MSDE,0.909 ± 0.065
32_shuttle,4.0,ECOD,0.909 ± 0.102
32_shuttle,5.0,COPOD,0.903 ± 0.117
32_shuttle,6.0,PCA,0.897 ± 0.119
32_shuttle,7.0,HBOS,0.885 ± 0.132
32_shuttle,8.0,OCSVM,0.877 ± 0.147
32_shuttle,9.0,CBLOF,0.864 ± 0.098
32_shuttle,10.0,DAGMM,0.862 ± 0.160
32_shuttle,11.0,SOD,0.858 ± 0.117
32_shuttle,12.0,LODA,0.851 ± 0.163
32_shuttle,13.0,COF,0.735 ± 0.167
32_shuttle,14.0,LOF,0.718 ± 0.193
33_skin,1.0,IForest,0.785 ± 0.210
33_skin,2.0,MSDE,0.775 ± 0.141
33_skin,3.0,KNN,0.758 ± 0.152
33_skin,4.0,DAGMM,0.746 ± 0.205
33_skin,5.0,OCSVM,0.736 ± 0.218
33_skin,6.0,CBLOF,0.734 ± 0.171
33_skin,7.0,PCA,0.728 ± 0.228
33_skin,8.0,ECOD,0.728 ± 0.208
33_skin,9.0,HBOS,0.723 ± 0.223
33_skin,10.0,COPOD,0.704 ± 0.193
33_skin,11.0,LODA,0.683 ± 0.178
33_skin,12.0,SOD,0.664 ± 0.117
33_skin,13.0,LOF,0.622 ± 0.131
33_skin,14.0,COF,0.616 ± 0.105
34_smtp,1.0,SOD,0.926 ± 0.086
34_smtp,2.0,KNN,0.854 ± 0.190
34_smtp,3.0,IForest,0.847 ± 0.201
34_smtp,4.0,COF,0.847 ± 0.188
34_smtp,5.0,CBLOF,0.840 ± 0.183
34_smtp,6.0,LOF,0.834 ± 0.223
34_smtp,7.0,MSDE,0.823 ± 0.238
34_smtp,8.0,HBOS,0.810 ± 0.224
34_smtp,9.0,DAGMM,0.794 ± 0.247
34_smtp,10.0,COPOD,0.792 ± 0.238
34_smtp,11.0,PCA,0.768 ± 0.294
34_smtp,12.0,ECOD,0.737 ± 0.299
34_smtp,13.0,LODA,0.710 ± 0.193
34_smtp,14.0,OCSVM,0.669 ± 0.265
35_SpamBase,1.0,MSDE,0.848 ± 0.170
35_SpamBase,2.0,CBLOF,0.842 ± 0.179
35_SpamBase,3.0,KNN,0.838 ± 0.194
35_SpamBase,4.0,COPOD,0.837 ± 0.178
35_SpamBase,5.0,PCA,0.830 ± 0.160
35_SpamBase,6.0,OCSVM,0.814 ± 0.200
35_SpamBase,7.0,IForest,0.813 ± 0.171
35_SpamBase,8.0,HBOS,0.792 ± 0.181
35_SpamBase,9.0,LODA,0.780 ± 0.211
35_SpamBase,10.0,SOD,0.779 ± 0.256
35_SpamBase,11.0,LOF,0.761 ± 0.391
35_SpamBase,12.0,ECOD,0.760 ± 0.238
35_SpamBase,13.0,COF,0.744 ± 0.406
35_SpamBase,14.0,DAGMM,0.706 ± 0.169
36_speech,1.0,MSDE,0.998 ± 0.003
36_speech,2.0,CBLOF,0.993 ± 0.014
36_speech,3.0,KNN,0.993 ± 0.014
36_speech,4.0,IForest,0.981 ± 0.034
36_speech,5.0,LODA,0.944 ± 0.087
36_speech,6.0,SOD,0.928 ± 0.144
36_speech,7.0,OCSVM,0.922 ± 0.156
36_speech,8.0,DAGMM,0.921 ± 0.084
36_speech,9.0,PCA,0.917 ± 0.166
36_speech,10.0,COPOD,0.914 ± 0.173
36_speech,11.0,HBOS,0.907 ± 0.186
36_speech,12.0,ECOD,0.905 ± 0.191
36_speech,13.0,COF,0.864 ± 0.213
36_speech,14.0,LOF,0.818 ± 0.363
37_Stamps,1.0,CBLOF,0.921 ± 0.087
37_Stamps,2.0,KNN,0.914 ± 0.062
37_Stamps,3.0,MSDE,0.911 ± 0.108
37_Stamps,4.0,IForest,0.907 ± 0.111
37_Stamps,5.0,SOD,0.899 ± 0.059
37_Stamps,6.0,LODA,0.884 ± 0.136
37_Stamps,7.0,PCA,0.883 ± 0.145
37_Stamps,8.0,ECOD,0.876 ± 0.151
37_Stamps,9.0,OCSVM,0.876 ± 0.159
37_Stamps,10.0,HBOS,0.875 ± 0.154
37_Stamps,11.0,COPOD,0.865 ± 0.159
37_Stamps,12.0,DAGMM,0.836 ± 0.158
37_Stamps,13.0,LOF,0.826 ± 0.203
37_Stamps,14.0,COF,0.774 ± 0.264
38_thyroid,1.0,KNN,0.893 ± 0.093
38_thyroid,2.0,MSDE,0.878 ± 0.144
38_thyroid,3.0,SOD,0.876 ± 0.104
38_thyroid,4.0,IForest,0.858 ± 0.172
38_thyroid,5.0,CBLOF,0.844 ± 0.140
38_thyroid,6.0,ECOD,0.838 ± 0.208
38_thyroid,7.0,OCSVM,0.837 ± 0.202
38_thyroid,8.0,PCA,0.833 ± 0.208
38_thyroid,9.0,COPOD,0.830 ± 0.215
38_thyroid,10.0,HBOS,0.826 ± 0.217
38_thyroid,11.0,LODA,0.824 ± 0.218
38_thyroid,12.0,DAGMM,0.815 ± 0.200
38_thyroid,13.0,LOF,0.795 ± 0.187
38_thyroid,14.0,COF,0.749 ± 0.245
39_vertebral,1.0,KNN,0.917 ± 0.056
39_vertebral,2.0,MSDE,0.897 ± 0.123
39_vertebral,3.0,IForest,0.893 ± 0.125
39_vertebral,4.0,CBLOF,0.891 ± 0.076
39_vertebral,5.0,SOD,0.866 ± 0.068
39_vertebral,6.0,LODA,0.840 ± 0.179
39_vertebral,7.0,HBOS,0.837 ± 0.199
39_vertebral,8.0,PCA,0.833 ± 0.203
39_vertebral,9.0,OCSVM,0.833 ± 0.197
39_vertebral,10.0,COPOD,0.823 ± 0.210
39_vertebral,11.0,ECOD,0.814 ± 0.186
39_vertebral,12.0,DAGMM,0.810 ± 0.123
39_vertebral,13.0,LOF,0.804 ± 0.206
39_vertebral,14.0,COF,0.799 ± 0.226
3_backdoor,1.0,OCSVM,1.000 ± 0.000
3_backdoor,2.0,PCA,1.000 ± 0.000
3_backdoor,3.0,CBLOF,1.000 ± 0.000
3_backdoor,4.0,MSDE,1.000 ± 0.001
3_backdoor,5.0,LODA,0.997 ± 0.005
3_backdoor,6.0,COPOD,0.993 ± 0.012
3_backdoor,7.0,IForest,0.992 ± 0.013
3_backdoor,8.0,KNN,0.988 ± 0.020
3_backdoor,9.0,HBOS,0.987 ± 0.022
3_backdoor,10.0,ECOD,0.986 ± 0.025
3_backdoor,11.0,DAGMM,0.946 ± 0.039
3_backdoor,12.0,SOD,0.868 ± 0.228
3_backdoor,13.0,COF,0.782 ± 0.378
3_backdoor,14.0,LOF,0.763 ± 0.411
40_vowels,1.0,LOF,0.988 ± 0.020
40_vowels,2.0,COF,0.981 ± 0.028
40_vowels,3.0,KNN,0.980 ± 0.033
40_vowels,4.0,SOD,0.967 ± 0.035
40_vowels,5.0,CBLOF,0.967 ± 0.058
40_vowels,6.0,MSDE,0.955 ± 0.074
40_vowels,7.0,IForest,0.942 ± 0.088
40_vowels,8.0,LODA,0.902 ± 0.155
40_vowels,9.0,OCSVM,0.878 ± 0.196
40_vowels,10.0,HBOS,0.878 ± 0.197
40_vowels,11.0,PCA,0.876 ± 0.202
40_vowels,12.0,ECOD,0.873 ± 0.207
40_vowels,13.0,DAGMM,0.857 ± 0.133
40_vowels,14.0,COPOD,0.856 ± 0.204
41_Waveform,1.0,MSDE,0.993 ± 0.011
41_Waveform,2.0,KNN,0.991 ± 0.011
41_Waveform,3.0,CBLOF,0.985 ± 0.026
41_Waveform,4.0,IForest,0.954 ± 0.080
41_Waveform,5.0,COF,0.928 ± 0.127
41_Waveform,6.0,LODA,0.927 ± 0.130
41_Waveform,7.0,SOD,0.915 ± 0.139
41_Waveform,8.0,OCSVM,0.907 ± 0.169
41_Waveform,9.0,PCA,0.904 ± 0.176
41_Waveform,10.0,ECOD,0.902 ± 0.177
41_Waveform,11.0,HBOS,0.898 ± 0.182
41_Waveform,12.0,COPOD,0.895 ± 0.177
41_Waveform,13.0,DAGMM,0.879 ± 0.141
41_Waveform,14.0,LOF,0.808 ± 0.380
42_WBC,1.0,SOD,0.895 ± 0.093
42_WBC,2.0,KNN,0.890 ± 0.082
42_WBC,3.0,MSDE,0.882 ± 0.146
42_WBC,4.0,IForest,0.879 ± 0.148
42_WBC,5.0,CBLOF,0.869 ± 0.117
42_WBC,6.0,LODA,0.858 ± 0.207
42_WBC,7.0,OCSVM,0.856 ± 0.204
42_WBC,8.0,PCA,0.846 ± 0.214
42_WBC,9.0,ECOD,0.845 ± 0.228
42_WBC,10.0,COPOD,0.837 ± 0.221
42_WBC,11.0,DAGMM,0.825 ± 0.166
42_WBC,12.0,HBOS,0.825 ± 0.230
42_WBC,13.0,COF,0.813 ± 0.204
42_WBC,14.0,LOF,0.755 ± 0.338
43_WDBC,1.0,KNN,0.995 ± 0.006
43_WDBC,2.0,CBLOF,0.991 ± 0.010
43_WDBC,3.0,SOD,0.988 ± 0.018
43_WDBC,4.0,COF,0.986 ± 0.026
43_WDBC,5.0,MSDE,0.979 ± 0.024
43_WDBC,6.0,IForest,0.974 ± 0.029
43_WDBC,7.0,LODA,0.959 ± 0.045
43_WDBC,8.0,PCA,0.951 ± 0.069
43_WDBC,9.0,OCSVM,0.948 ± 0.067
43_WDBC,10.0,LOF,0.927 ± 0.140
43_WDBC,11.0,COPOD,0.925 ± 0.109
43_WDBC,12.0,ECOD,0.923 ± 0.115
43_WDBC,13.0,HBOS,0.919 ± 0.124
43_WDBC,14.0,DAGMM,0.902 ± 0.070
44_Wilt,1.0,KNN,0.854 ± 0.136
44_Wilt,2.0,MSDE,0.854 ± 0.184
44_Wilt,3.0,CBLOF,0.840 ± 0.193
44_Wilt,4.0,IForest,0.830 ± 0.217
44_Wilt,5.0,OCSVM,0.825 ± 0.219
44_Wilt,6.0,PCA,0.819 ± 0.235
44_Wilt,7.0,ECOD,0.819 ± 0.230
44_Wilt,8.0,DAGMM,0.817 ± 0.215
44_Wilt,9.0,COPOD,0.812 ± 0.236
44_Wilt,10.0,HBOS,0.810 ± 0.240
44_Wilt,11.0,LODA,0.805 ± 0.233
44_Wilt,12.0,SOD,0.774 ± 0.147
44_Wilt,13.0,COF,0.703 ± 0.199
44_Wilt,14.0,LOF,0.676 ± 0.227
45_wine,1.0,KNN,0.965 ± 0.030
45_wine,2.0,CBLOF,0.962 ± 0.044
45_wine,3.0,SOD,0.948 ± 0.037
45_wine,4.0,MSDE,0.946 ± 0.068
45_wine,5.0,IForest,0.933 ± 0.081
45_wine,6.0,LODA,0.895 ± 0.140
45_wine,7.0,PCA,0.893 ± 0.158
45_wine,8.0,OCSVM,0.884 ± 0.165
45_wine,9.0,ECOD,0.883 ± 0.167
45_wine,10.0,HBOS,0.883 ± 0.170
45_wine,11.0,COPOD,0.881 ± 0.171
45_wine,12.0,DAGMM,0.824 ± 0.181
45_wine,13.0,LOF,0.823 ± 0.289
45_wine,14.0,COF,0.793 ± 0.315
46_WPBC,1.0,MSDE,0.945 ± 0.066
